configurations,google pixel format
440404-4-1,[4- 4- 0- 4- 0- 4- 4- 1]
220022-3-0,[2- 2- 0- 0- 2- 2- 3- 0]
040044-1-0,[0- 4- 0- 0- 4- 4- 1- 0]
330333-1-0,[3- 3- 0- 3- 3- 3- 1- 0]
202000-0-0,[2- 0- 2- 0- 0- 0- 0- 0]
101111-4-1,[1- 0- 1- 1- 1- 1- 4- 1]
000000-3-3,[0- 0- 0- 0- 0- 0- 3- 3]
004440-2-0,[0- 0- 4- 4- 4- 0- 2- 0]
444044-3-0,[4- 4- 4- 0- 4- 4- 3- 0]
020202-4-0,[0- 2- 0- 2- 0- 2- 4- 0]
022222-1-0,[0- 2- 2- 2- 2- 2- 1- 0]
000444-0-0,[0- 0- 0- 4- 4- 4- 0- 0]
333330-4-1,[3- 3- 3- 3- 3- 0- 4- 1]
044444-1-0,[0- 4- 4- 4- 4- 4- 1- 0]
011101-4-0,[0- 1- 1- 1- 0- 1- 4- 0]
000001-4-0,[0- 0- 0- 0- 0- 1- 4- 0]
004440-3-3,[0- 0- 4- 4- 4- 0- 3- 3]
044404-0-4,[0- 4- 4- 4- 0- 4- 0- 4]
011101-0-0,[0- 1- 1- 1- 0- 1- 0- 0]
000110-4-3,[0- 0- 0- 1- 1- 0- 4- 3]
004004-3-4,[0- 0- 4- 0- 0- 4- 3- 4]
110100-4-1,[1- 1- 0- 1- 0- 0- 4- 1]
440444-1-1,[4- 4- 0- 4- 4- 4- 1- 1]
003000-1-4,[0- 0- 3- 0- 0- 0- 1- 4]
004040-4-4,[0- 0- 4- 0- 4- 0- 4- 4]
004044-1-0,[0- 0- 4- 0- 4- 4- 1- 0]
220000-4-0,[2- 2- 0- 0- 0- 0- 4- 0]
044000-1-1,[0- 4- 4- 0- 0- 0- 1- 1]
000404-4-0,[0- 0- 0- 4- 0- 4- 4- 0]
001101-4-2,[0- 0- 1- 1- 0- 1- 4- 2]
044444-1-1,[0- 4- 4- 4- 4- 4- 1- 1]
010100-1-0,[0- 1- 0- 1- 0- 0- 1- 0]
220220-4-1,[2- 2- 0- 2- 2- 0- 4- 1]
002220-4-4,[0- 0- 2- 2- 2- 0- 4- 4]
444404-4-0,[4- 4- 4- 4- 0- 4- 4- 0]
022002-3-4,[0- 2- 2- 0- 0- 2- 3- 4]
222200-4-4,[2- 2- 2- 2- 0- 0- 4- 4]
000044-4-1,[0- 0- 0- 0- 4- 4- 4- 1]
000044-3-4,[0- 0- 0- 0- 4- 4- 3- 4]
300333-1-4,[3- 0- 0- 3- 3- 3- 1- 4]
