configurations,google pixel format
4040-0044,[4- 0- 4- 0- 0- 0- 4- 4]
0400-4400,[0- 4- 0- 0- 4- 4- 0- 0]
0004-4004,[0- 0- 0- 4- 4- 0- 0- 4]
0000-4440,[0- 0- 0- 0- 4- 4- 4- 0]
0040-4000,[0- 0- 4- 0- 4- 0- 0- 0]
0044-0044,[0- 0- 4- 4- 0- 0- 4- 4]
0040-0404,[0- 0- 4- 0- 0- 4- 0- 4]
0404-0444,[0- 4- 0- 4- 0- 4- 4- 4]
0000-4444,[0- 0- 0- 0- 4- 4- 4- 4]
4004-4000,[4- 0- 0- 4- 4- 0- 0- 0]
4000-4000,[4- 0- 0- 0- 4- 0- 0- 0]
0400-4404,[0- 4- 0- 0- 4- 4- 0- 4]
0444-0044,[0- 4- 4- 4- 0- 0- 4- 4]
0440-0040,[0- 4- 4- 0- 0- 0- 4- 0]
4440-4440,[4- 4- 4- 0- 4- 4- 4- 0]
4004-4004,[4- 0- 0- 4- 4- 0- 0- 4]
4440-4000,[4- 4- 4- 0- 4- 0- 0- 0]
0000-4000,[0- 0- 0- 0- 4- 0- 0- 0]
0404-4040,[0- 4- 0- 4- 4- 0- 4- 0]
4444-0404,[4- 4- 4- 4- 0- 4- 0- 4]
4000-4400,[4- 0- 0- 0- 4- 4- 0- 0]
0400-4444,[0- 4- 0- 0- 4- 4- 4- 4]
0040-0000,[0- 0- 4- 0- 0- 0- 0- 0]
0440-4444,[0- 4- 4- 0- 4- 4- 4- 4]
0040-4400,[0- 0- 4- 0- 4- 4- 0- 0]
4440-0444,[4- 4- 4- 0- 0- 4- 4- 4]
0000-0004,[0- 0- 0- 0- 0- 0- 0- 4]
4404-0004,[4- 4- 0- 4- 0- 0- 0- 4]
0044-4400,[0- 0- 4- 4- 4- 4- 0- 0]
4000-0000,[4- 0- 0- 0- 0- 0- 0- 0]
4400-4000,[4- 4- 0- 0- 4- 0- 0- 0]
0004-0044,[0- 0- 0- 4- 0- 0- 4- 4]
4440-0000,[4- 4- 4- 0- 0- 0- 0- 0]
4444-0440,[4- 4- 4- 4- 0- 4- 4- 0]
4444-4000,[4- 4- 4- 4- 4- 0- 0- 0]
4004-0004,[4- 0- 0- 4- 0- 0- 0- 4]
4444-0000,[4- 4- 4- 4- 0- 0- 0- 0]
4404-4040,[4- 4- 0- 4- 4- 0- 4- 0]
4444-4440,[4- 4- 4- 4- 4- 4- 4- 0]
0000-4004,[0- 0- 0- 0- 4- 0- 0- 4]
