configurations,google pixel format
000100-2-4,[0- 0- 0- 1- 0- 0- 2- 4]
202222-1-4,[2- 0- 2- 2- 2- 2- 1- 4]
003300-4-3,[0- 0- 3- 3- 0- 0- 4- 3]
011111-4-0,[0- 1- 1- 1- 1- 1- 4- 0]
001101-4-4,[0- 0- 1- 1- 0- 1- 4- 4]
011000-4-2,[0- 1- 1- 0- 0- 0- 4- 2]
022202-4-2,[0- 2- 2- 2- 0- 2- 4- 2]
011011-2-4,[0- 1- 1- 0- 1- 1- 2- 4]
222022-4-0,[2- 2- 2- 0- 2- 2- 4- 0]
404004-4-1,[4- 0- 4- 0- 0- 4- 4- 1]
444044-3-4,[4- 4- 4- 0- 4- 4- 3- 4]
400004-1-4,[4- 0- 0- 0- 0- 4- 1- 4]
440044-3-4,[4- 4- 0- 0- 4- 4- 3- 4]
400440-0-0,[4- 0- 0- 4- 4- 0- 0- 0]
300000-4-4,[3- 0- 0- 0- 0- 0- 4- 4]
002000-4-4,[0- 0- 2- 0- 0- 0- 4- 4]
440000-3-3,[4- 4- 0- 0- 0- 0- 3- 3]
404440-4-2,[4- 0- 4- 4- 4- 0- 4- 2]
040044-1-4,[0- 4- 0- 0- 4- 4- 1- 4]
440004-0-4,[4- 4- 0- 0- 0- 4- 0- 4]
022222-0-4,[0- 2- 2- 2- 2- 2- 0- 4]
020222-2-0,[0- 2- 0- 2- 2- 2- 2- 0]
100000-1-0,[1- 0- 0- 0- 0- 0- 1- 0]
020022-1-0,[0- 2- 0- 0- 2- 2- 1- 0]
040444-3-3,[0- 4- 0- 4- 4- 4- 3- 3]
444400-4-4,[4- 4- 4- 4- 0- 0- 4- 4]
044004-3-4,[0- 4- 4- 0- 0- 4- 3- 4]
030300-3-0,[0- 3- 0- 3- 0- 0- 3- 0]
101110-2-4,[1- 0- 1- 1- 1- 0- 2- 4]
444400-3-4,[4- 4- 4- 4- 0- 0- 3- 4]
111101-3-4,[1- 1- 1- 1- 0- 1- 3- 4]
400404-1-4,[4- 0- 0- 4- 0- 4- 1- 4]
330030-2-4,[3- 3- 0- 0- 3- 0- 2- 4]
000404-4-0,[0- 0- 0- 4- 0- 4- 4- 0]
001111-3-4,[0- 0- 1- 1- 1- 1- 3- 4]
444040-3-4,[4- 4- 4- 0- 4- 0- 3- 4]
044404-2-0,[0- 4- 4- 4- 0- 4- 2- 0]
440404-3-3,[4- 4- 0- 4- 0- 4- 3- 3]
200000-4-0,[2- 0- 0- 0- 0- 0- 4- 0]
033333-4-4,[0- 3- 3- 3- 3- 3- 4- 4]
