configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,phone power,workload,energy by workload,starting cc_info,ending cc_info
100001-2-2,[1- 0- 0- 0- 0- 1- 2- 0- 0- 2- 0- 0- 0],[576000- 0- 0- 0- 0- 576000- 1478400- 0- 0- 1766400- 0- 0- 0],[1- 0- 0- 0- 0- 1- 2- 2],[576000- 0- 0- 0- 0- 576000- 1478400- 1766400],69.52409009723863,2010.5306198084834,1.16486e+12,5.96845e-11,0,0
100001-2-2,[1- 0- 0- 0- 0- 1- 2- 0- 0- 2- 0- 0- 0],[576000- 0- 0- 0- 0- 576000- 1478400- 0- 0- 1766400- 0- 0- 0],[1- 0- 0- 0- 0- 1- 2- 2],[576000- 0- 0- 0- 0- 576000- 1478400- 1766400],71.0813570024315,2044.1753729837076,1.16597e+12,6.09633e-11,0,0
100001-2-2,[1- 0- 0- 0- 0- 1- 2- 0- 0- 2- 0- 0- 0],[576000- 0- 0- 0- 0- 576000- 1478400- 0- 0- 1766400- 0- 0- 0],[1- 0- 0- 0- 0- 1- 2- 2],[576000- 0- 0- 0- 0- 576000- 1478400- 1766400],70.47748663452633,2047.1024914329862,1.1634e+12,6.05789e-11,0,0
100010-2-2,[1- 0- 0- 0- 1- 0- 2- 0- 0- 2- 0- 0- 0],[576000- 0- 0- 0- 576000- 0- 1478400- 0- 0- 1766400- 0- 0- 0],[1- 0- 0- 0- 1- 0- 2- 2],[576000- 0- 0- 0- 576000- 0- 1478400- 1766400],70.09045877144594,2025.8535423935475,1.16616e+12,6.01036e-11,0,0
100010-2-2,[1- 0- 0- 0- 1- 0- 2- 0- 0- 2- 0- 0- 0],[576000- 0- 0- 0- 576000- 0- 1478400- 0- 0- 1766400- 0- 0- 0],[1- 0- 0- 0- 1- 0- 2- 2],[576000- 0- 0- 0- 576000- 0- 1478400- 1766400],70.58915136388794,2044.639552517949,1.16179e+12,6.0759e-11,0,0
100010-2-2,[1- 0- 0- 0- 1- 0- 2- 0- 0- 2- 0- 0- 0],[576000- 0- 0- 0- 576000- 0- 1478400- 0- 0- 1766400- 0- 0- 0],[1- 0- 0- 0- 1- 0- 2- 2],[576000- 0- 0- 0- 576000- 0- 1478400- 1766400],71.30789275413113,2066.2232265127523,1.16209e+12,6.13618e-11,0,0
100100-2-2,[1- 0- 0- 1- 0- 0- 2- 0- 0- 2- 0- 0- 0],[576000- 0- 0- 576000- 0- 0- 1478400- 0- 0- 1766400- 0- 0- 0],[1- 0- 0- 1- 0- 0- 2- 2],[576000- 0- 0- 576000- 0- 0- 1478400- 1766400],70.742778041012,2045.810308683365,1.16092e+12,6.09368e-11,0,0
100100-2-2,[1- 0- 0- 1- 0- 0- 2- 0- 0- 2- 0- 0- 0],[576000- 0- 0- 576000- 0- 0- 1478400- 0- 0- 1766400- 0- 0- 0],[1- 0- 0- 1- 0- 0- 2- 2],[576000- 0- 0- 576000- 0- 0- 1478400- 1766400],70.57358750924872,2039.2028466702188,1.16676e+12,6.04868e-11,0,0
100100-2-2,[1- 0- 0- 1- 0- 0- 2- 0- 0- 2- 0- 0- 0],[576000- 0- 0- 576000- 0- 0- 1478400- 0- 0- 1766400- 0- 0- 0],[1- 0- 0- 1- 0- 0- 2- 2],[576000- 0- 0- 576000- 0- 0- 1478400- 1766400],70.90841487980666,2058.390853686644,1.16526e+12,6.0852e-11,0,0
101000-2-2,[1- 0- 1- 0- 0- 0- 2- 0- 0- 2- 0- 0- 0],[576000- 0- 576000- 0- 0- 0- 1478400- 0- 0- 1766400- 0- 0- 0],[1- 0- 1- 0- 0- 0- 2- 2],[576000- 0- 576000- 0- 0- 0- 1478400- 1766400],70.73694231384944,2045.2993817629833,1.1597e+12,6.09959e-11,0,0
