configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,phone power,workload,energy by workload,starting cc_info,ending cc_info
111100-0-0,[1- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 1- 1- 1- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 0- 0- 0- 0],25.965369969175722,790.7675577045442,1.96827e+11,1.3192e-10,0,0
111100-0-0,[1- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 1- 1- 1- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 0- 0- 0- 0],27.140189650940037,813.0517203348254,1.95462e+11,1.38851e-10,0,0
111100-0-0,[1- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 1- 1- 1- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 0- 0- 0- 0],26.822765791472865,815.24591464882,1.96207e+11,1.36706e-10,0,0
111111-0-0,[1- 1- 1- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 1- 1- 1- 1- 1- 0- 0],[576000- 576000- 576000- 576000- 576000- 576000- 0- 0],29.67408570966118,896.8485818270494,3.0259e+11,9.8067e-11,0,0
111111-0-0,[1- 1- 1- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 1- 1- 1- 1- 1- 0- 0],[576000- 576000- 576000- 576000- 576000- 576000- 0- 0],28.64748233581489,872.6256787577362,3.03797e+11,9.42981e-11,0,0
111111-0-0,[1- 1- 1- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 1- 1- 1- 1- 1- 0- 0],[576000- 576000- 576000- 576000- 576000- 576000- 0- 0],28.764327183676812,870.0281288922447,3.04075e+11,9.45962e-11,0,0
011100-0-0,[0- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 1- 1- 1- 0- 0- 0- 0],[0- 576000- 576000- 576000- 0- 0- 0- 0],25.829656527808417,781.5925885983836,1.45819e+11,1.77135e-10,0,0
011100-0-0,[0- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 1- 1- 1- 0- 0- 0- 0],[0- 576000- 576000- 576000- 0- 0- 0- 0],25.94453169995571,788.0880520312049,1.43996e+11,1.80175e-10,0,0
011100-0-0,[0- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 1- 1- 1- 0- 0- 0- 0],[0- 576000- 576000- 576000- 0- 0- 0- 0],25.989979719879223,780.9020654594822,1.45493e+11,1.78634e-10,0,0
222200-0-0,[2- 2- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 0- 0- 0- 0- 0- 0- 0- 0- 0],[2- 2- 2- 2- 0- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 0- 0- 0- 0],27.019825796109252,809.0509651083142,1.96342e+11,1.37616e-10,0,0
