configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,phone power,workload,energy by workload,starting cc_info,ending cc_info
100001-0-0,[1- 0- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 0- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 0- 0- 1- 0- 0],[576000- 0- 0- 0- 0- 576000- 0- 0],23.92680302847992,726.3511644901749,9.39183e+10,2.54762e-10,0,0
100001-0-0,[1- 0- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 0- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 0- 0- 1- 0- 0],[576000- 0- 0- 0- 0- 576000- 0- 0],24.008138624748163,726.6547674245342,9.39365e+10,2.55578e-10,0,0
100001-0-0,[1- 0- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 0- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 0- 0- 1- 0- 0],[576000- 0- 0- 0- 0- 576000- 0- 0],24.04973010017626,725.0266611494385,9.40412e+10,2.55736e-10,0,0
100010-0-0,[1- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 576000- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 0- 1- 0- 0- 0],[576000- 0- 0- 0- 576000- 0- 0- 0],23.768609723161067,721.9359233930851,9.38028e+10,2.53389e-10,0,0
100010-0-0,[1- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 576000- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 0- 1- 0- 0- 0],[576000- 0- 0- 0- 576000- 0- 0- 0],23.907751006381503,719.5124735980693,9.4169e+10,2.53881e-10,0,0
100010-0-0,[1- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 576000- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 0- 1- 0- 0- 0],[576000- 0- 0- 0- 576000- 0- 0- 0],23.647042756264316,717.3536897466823,9.38666e+10,2.51922e-10,0,0
100100-0-0,[1- 0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 1- 0- 0- 0- 0],[576000- 0- 0- 576000- 0- 0- 0- 0],24.34321151135318,731.1453068380349,9.52989e+10,2.55441e-10,0,0
100100-0-0,[1- 0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 1- 0- 0- 0- 0],[576000- 0- 0- 576000- 0- 0- 0- 0],23.66236144271759,723.4942902904883,9.41097e+10,2.51434e-10,0,0
100100-0-0,[1- 0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 1- 0- 0- 0- 0],[576000- 0- 0- 576000- 0- 0- 0- 0],24.282936366326563,728.7494068467691,9.36904e+10,2.59183e-10,0,0
101000-0-0,[1- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 1- 0- 0- 0- 0- 0],[576000- 0- 576000- 0- 0- 0- 0- 0],23.827633134312034,723.5133808912915,9.36934e+10,2.54315e-10,0,0
101000-0-0,[1- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 1- 0- 0- 0- 0- 0],[576000- 0- 576000- 0- 0- 0- 0- 0],23.826661712544205,723.732867677299,9.39683e+10,2.53561e-10,0,0
101000-0-0,[1- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 1- 0- 0- 0- 0- 0],[576000- 0- 576000- 0- 0- 0- 0- 0],24.05507728451459,730.1044749181781,9.42226e+10,2.55301e-10,0,0
