configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,phone power,workload,energy by workload
idl,[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0],11.04773,336.07,90000000000.0,1.2275255555555554e-10
1m-0,[1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 0- 0- 0- 0],22.55499,679.99,62060000000.00001,3.6343844666451816e-10
1h-0,[2- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1363200- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[2- 0- 0- 0- 0- 0- 0- 0],[1363200- 0- 0- 0- 0- 0- 0- 0],24.78502,746.01,126699999999.99998,1.9561973164956593e-10
1-0,[3- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1804800- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[3- 0- 0- 0- 0- 0- 0- 0],[1804800- 0- 0- 0- 0- 0- 0- 0],29.19724,876.8,160362534000.0,1.8207020849396157e-10
2m-0,[1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 1- 0- 0- 0- 0- 0- 0],[576000- 576000- 0- 0- 0- 0- 0- 0],24.2773,729.67,141737000000.0,1.7128413893337662e-10
2h-0,[2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[2- 2- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 0- 0- 0- 0- 0- 0],28.50231,854.14,261014000000.0,1.0919839548836461e-10
2-0,[3- 3- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[3- 3- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 0- 0- 0- 0- 0- 0],38.59814,1066.77,336804200000.0,1.1460112433277258e-10
3m-0,[1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 1- 1- 0- 0- 0- 0- 0],[576000- 576000- 576000- 0- 0- 0- 0- 0],26.06077,783.2,229160700000.0,1.1372268456153259e-10
3h-0,[2- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 1363200- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[2- 2- 2- 0- 0- 0- 0- 0],[1363200- 1363200- 1363200- 0- 0- 0- 0- 0],32.11143,960.98,407984000000.0,7.870757186556335e-11
3-0,[3- 3- 3- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[3- 3- 3- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 0- 0- 0- 0- 0],46.07778,1272.45,495630000000.0,9.296810120452757e-11
1-1m-0,[3- 0- 0- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0],[1804800- 0- 0- 0- 0- 0- 652800- 0- 0- 0- 0- 0- 0],[3- 0- 0- 0- 0- 0- 1- 0],[1804800- 0- 0- 0- 0- 0- 652800- 0],35.08751,1045.8,381053900000.0,9.208017553422233e-11
1-1h-1,[3- 0- 0- 0- 0- 0- 2- 0- 0- 0- 0- 0- 0],[1804800- 0- 0- 0- 0- 0- 1478400- 0- 0- 0- 0- 0- 0],[3- 0- 0- 0- 0- 0- 2- 0],[1804800- 0- 0- 0- 0- 0- 1478400- 0],47.10283999999999,1389.07,624912800000.0,7.537506032841701e-11
1m-1m-0,[1- 0- 0- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 0- 0- 652800- 0- 0- 0- 0- 0- 0],[1- 0- 0- 0- 0- 0- 1- 0],[576000- 0- 0- 0- 0- 0- 652800- 0],28.15818,845.63,279024200000.0,1.0091662300259261e-10
1h-1h-0,[2- 0- 0- 0- 0- 0- 2- 0- 0- 0- 0- 0- 0],[1363200- 0- 0- 0- 0- 0- 1478400- 0- 0- 0- 0- 0- 0],[2- 0- 0- 0- 0- 0- 2- 0],[1363200- 0- 0- 0- 0- 0- 1478400- 0],42.7422,1265.01,612180000000.0,6.981966088405371e-11
1-0-1,[3- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0- 0- 0],[1804800- 0- 0- 0- 0- 0- 0- 0- 0- 2400000- 0- 0- 0],[3- 0- 0- 0- 0- 0- 3- 0],[1804800- 0- 0- 0- 0- 0- 2208000- 0],73.04875,2106.08,847040000000.0,8.624002408386853e-11
0-0-1m,[0- 0- 0- 0- 0- 0- 0- 0- 0- 1- 0- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0- 0- 806400- 0- 0- 0],[0- 0- 0- 0- 0- 0- 1- 0],[0- 0- 0- 0- 0- 0- 652800- 0],30.05234,899.02,255406809999.99997,1.176645994678059e-10
0-0-1h,[0- 0- 0- 0- 0- 0- 0- 0- 0- 2- 0- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0- 0- 1766400- 0- 0- 0],[0- 0- 0- 0- 0- 0- 2- 0],[0- 0- 0- 0- 0- 0- 1478400- 0],47.13362,1390.6,553843000000.0,8.510285405791894e-11
0-1-0,[0- 0- 0- 0- 0- 0- 3- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 2208000- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 3- 0],[0- 0- 0- 0- 0- 0- 2208000- 0],66.8775,1938.45,674420000000.0,9.916298449037691e-11
0-0-1,[0- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0- 0- 2400000- 0- 0- 0],[0- 0- 0- 0- 0- 0- 0- 3],[0- 0- 0- 0- 0- 0- 0- 2400000],77.6323,2214.51,764552224000.0,1.0153956467988771e-10
0-1m-1m,[0- 0- 0- 0- 0- 0- 1- 0- 0- 1- 0- 0- 0],[0- 0- 0- 0- 0- 0- 652800- 0- 0- 806400- 0- 0- 0],[0- 0- 0- 0- 0- 0- 1- 1],[0- 0- 0- 0- 0- 0- 652800- 806400],35.6832,1062.76,456680000000.0,7.81361128142244e-11
0-1h-1h,[0- 0- 0- 0- 0- 0- 2- 0- 0- 2- 0- 0- 0],[0- 0- 0- 0- 0- 0- 1478400- 0- 0- 1766400- 0- 0- 0],[0- 0- 0- 0- 0- 0- 2- 2],[0- 0- 0- 0- 0- 0- 1478400- 1766400],67.64763,1958.13,1031700000000.0,6.556908985170109e-11
0-3-1m,[0- 0- 0- 0- 0- 0- 3- 0- 0- 1- 0- 0- 0],[0- 0- 0- 0- 0- 0- 2208000- 0- 0- 806400- 0- 0- 0],[0- 0- 0- 0- 0- 0- 3- 1],[0- 0- 0- 0- 0- 0- 2208000- 806400],80.6761,2298.82,939240200000.0,8.589506709785208e-11
