configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,phone power,workload,energy by workload
idle,[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0],11.04773,336.07,90000000000.0,1.2275255555555554e-10
1-0,[3- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1804800- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[3- 0- 0- 0- 0- 0- 0- 0],[1804800- 0- 0- 0- 0- 0- 0- 0],29.19724,879.245,160362000000.0,1.8207081478155673e-10
2-0,[3- 3- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[3- 3- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 0- 0- 0- 0- 0- 0],38.59814,1146.12,336800000000.0,1.1460255344418052e-10
3-0,[3- 3- 3- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[3- 3- 3- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 0- 0- 0- 0- 0],46.07778,1357.74,495630000000.0,9.296810120452757e-11
4-0,[3- 3- 3- 3- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0- 0- 0],[3- 3- 3- 3- 0- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 0- 0- 0- 0],53.62951,1572.76,690600000000.0,7.76564002316826e-11
5-0,[3- 3- 3- 3- 3- 0- 0- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0- 0],[3- 3- 3- 3- 3- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 1804800- 0- 0- 0],56.82057,1661.97,922319899999.9999,6.160614120979067e-11
6-0,[3- 3- 3- 3- 3- 3- 0- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0],[3- 3- 3- 3- 3- 3- 0- 0],[1804800- 1804800- 1804800- 1804800- 1804800- 1804800- 0- 0],64.35313,1871.11,1111780000000.0,5.7882971451186377e-11
6-1-0,[3- 3- 3- 3- 3- 3- 3- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 1804800- 1804800- 2208000- 0- 0- 0- 0- 0- 0],[3- 3- 3- 3- 3- 3- 3- 0],[1804800- 1804800- 1804800- 1804800- 1804800- 1804800- 2208000- 0],106.21078,2970.56,1708829000000.0,6.215413010898106e-11
6-1-1,[3- 3- 3- 3- 3- 3- 3- 0- 0- 3- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 1804800- 1804800- 2208000- 0- 0- 2400000- 0- 0- 0],[3- 3- 3- 3- 3- 3- 3- 3],[1804800- 1804800- 1804800- 1804800- 1804800- 1804800- 2208000- 2400000],123.82321,3397.9,2138468100000.0,5.790276226238774e-11
0-1-0,[0- 0- 0- 0- 0- 0- 3- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 2208000- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 3- 0],[0- 0- 0- 0- 0- 0- 2208000- 0],66.8775,1938.45,674420000000.0,9.916298449037691e-11
