configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,phone power,workload,energy by workload
320303-1-1,[3- 2- 0- 3- 0- 3- 1- 0- 0- 1- 0- 0- 0],[1804800- 1363200- 0- 1804800- 0- 1804800- 0- 0- 0- 806400- 0- 0- 0],[3- 2- 0- 3- 0- 3- 1- 1],[1804800- 1363200- 0- 1804800- 0- 1804800- 652800- 806400],66.12237864852598,1936.4728136678461,9.27239e+11,7.1311e-11
221213-3-0,[2- 2- 1- 2- 1- 3- 3- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 576000- 1363200- 576000- 1804800- 0- 0- 0- 0- 0- 0- 0],[2- 2- 1- 2- 1- 3- 3- 0],[1363200- 1363200- 576000- 1363200- 576000- 1804800- 2208000- 0],83.8569021514259,2400.2180658143675,1.18317e+12,7.08748e-11
022202-2-2,[0- 2- 2- 2- 0- 2- 2- 0- 0- 2- 0- 0- 0],[0- 1363200- 1363200- 1363200- 0- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[0- 2- 2- 2- 0- 2- 2- 2],[0- 1363200- 1363200- 1363200- 0- 1363200- 1478400- 1766400],86.55908372523825,2477.3210999376884,1.30426e+12,6.63664e-11
200331-1-0,[2- 0- 0- 3- 3- 1- 1- 0- 0- 0- 0- 0- 0],[1363200- 0- 0- 1804800- 1804800- 576000- 0- 0- 0- 0- 0- 0- 0],[2- 0- 0- 3- 3- 1- 1- 0],[1363200- 0- 0- 1804800- 1804800- 576000- 652800- 0],31.96295936672102,963.8682638195704,3.40806e+11,9.37864e-11
202023-3-1,[2- 0- 2- 0- 2- 3- 3- 0- 0- 1- 0- 0- 0],[1363200- 0- 1363200- 0- 1363200- 1804800- 0- 0- 0- 806400- 0- 0- 0],[2- 0- 2- 0- 2- 3- 3- 1],[1363200- 0- 1363200- 0- 1363200- 1804800- 2208000- 806400],87.10137841468074,2490.657949317467,1.16536e+12,7.4742e-11
301211-1-3,[3- 0- 1- 2- 1- 1- 1- 0- 0- 3- 0- 0- 0],[1804800- 0- 576000- 1363200- 576000- 576000- 0- 0- 0- 2400000- 0- 0- 0],[3- 0- 1- 2- 1- 1- 1- 3],[1804800- 0- 576000- 1363200- 576000- 576000- 652800- 2400000],77.79688045119694,2261.4860473937442,9.56304e+11,8.13516e-11
001220-1-1,[0- 0- 1- 2- 2- 0- 1- 0- 0- 1- 0- 0- 0],[0- 0- 576000- 1363200- 1363200- 0- 0- 0- 0- 806400- 0- 0- 0],[0- 0- 1- 2- 2- 0- 1- 1],[0- 0- 576000- 1363200- 1363200- 0- 652800- 806400],37.62672702026895,1146.400761965295,5.04359e+11,7.46031e-11
313210-1-1,[3- 1- 3- 2- 1- 0- 1- 0- 0- 1- 0- 0- 0],[1804800- 576000- 1804800- 1363200- 576000- 0- 0- 0- 0- 806400- 0- 0- 0],[3- 1- 3- 2- 1- 0- 1- 1],[1804800- 576000- 1804800- 1363200- 576000- 0- 652800- 806400],40.707805921643576,1227.2388147240413,6.07029e+11,6.70607e-11
230332-3-3,[2- 3- 0- 3- 3- 2- 3- 0- 0- 3- 0- 0- 0],[1363200- 1804800- 0- 1804800- 1804800- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[2- 3- 0- 3- 3- 2- 3- 3],[1363200- 1804800- 0- 1804800- 1804800- 1363200- 2208000- 2400000],99.56004804973213,2811.9589146347744,1.41905e+12,7.01596e-11
032102-2-3,[0- 3- 2- 1- 0- 2- 2- 0- 0- 3- 0- 0- 0],[0- 1804800- 1363200- 576000- 0- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[0- 3- 2- 1- 0- 2- 2- 3],[0- 1804800- 1363200- 576000- 0- 1363200- 1478400- 2400000],91.64266045689709,2603.2322654271584,1.32222e+12,6.93097e-11
000100-0-2,[0- 0- 0- 1- 0- 0- 0- 0- 0- 2- 0- 0- 0],[0- 0- 0- 576000- 0- 0- 0- 0- 0- 1766400- 0- 0- 0],[0- 0- 0- 1- 0- 0- 0- 2],[0- 0- 0- 576000- 0- 0- 0- 1766400],49.6365268588524,1468.345612579537,5.11186e+11,9.71007e-11
