configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,phone power,workload,energy by workload,really tested configurations,generic format,exact frequency,google pixel format,exact frequencies,
203111-1-0,[2- 0- 3- 1- 1- 1- 1- 0- 0- 0- 0- 0- 0],[1363200- 0- 1804800- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[2- 0- 3- 1- 1- 1- 1- 0], [1363200- 0- 1804800- 576000- 576000- 576000- 652800- 0], 35.536402216432755,  1070.0763736815293, 3.84859e+11, 9.23362e-11, 101111-1-0, [1- 0- 1- 1- 1- 1- 1- 0- 0- 0- 0- 0- 0],[576000- 0- 576000- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0], [1- 0- 1- 1- 1- 1- 1- 0], [576000- 0- 576000- 576000- 576000- 576000- 652800- 0] 
022001-0-3,[0- 2- 2- 0- 0- 1- 0- 0- 0- 3- 0- 0- 0],[0- 1363200- 1363200- 0- 0- 576000- 0- 0- 0- 2400000- 0- 0- 0],[0- 2- 2- 0- 0- 1- 0- 3], [0- 1363200- 1363200- 0- 0- 576000- 0- 2400000], 64.71129799002061,  1877.8566195542908, 7.29387e+11, 8.87201e-11, 011001-0-3, [0- 1- 1- 0- 0- 1- 0- 0- 0- 3- 0- 0- 0],[0- 576000- 576000- 0- 0- 576000- 0- 0- 0- 2400000- 0- 0- 0], [0- 1- 1- 0- 0- 1- 0- 3], [0- 576000- 576000- 0- 0- 576000- 0- 2400000] 
310311-0-1,[3- 1- 0- 3- 1- 1- 0- 0- 0- 1- 0- 0- 0],[1804800- 576000- 0- 1804800- 576000- 576000- 0- 0- 0- 806400- 0- 0- 0],[3- 1- 0- 3- 1- 1- 0- 1], [1804800- 576000- 0- 1804800- 576000- 576000- 0- 806400], 36.734913097035495,  1114.1655793359157, 4.34762e+11, 8.44943e-11, 110111-0-1, [1- 1- 0- 1- 1- 1- 0- 0- 0- 1- 0- 0- 0],[576000- 576000- 0- 576000- 576000- 576000- 0- 0- 0- 806400- 0- 0- 0], [1- 1- 0- 1- 1- 1- 0- 1], [576000- 576000- 0- 576000- 576000- 576000- 0- 806400] 
103310-1-0,[1- 0- 3- 3- 1- 0- 1- 0- 0- 0- 0- 0- 0],[576000- 0- 1804800- 1804800- 576000- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 3- 3- 1- 0- 1- 0], [576000- 0- 1804800- 1804800- 576000- 0- 652800- 0], 30.700472577378978,  933.3315457765137, 3.41257e+11, 8.99629e-11, 101110-1-0, [1- 0- 1- 1- 1- 0- 1- 0- 0- 0- 0- 0- 0],[576000- 0- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0], [1- 0- 1- 1- 1- 0- 1- 0], [576000- 0- 576000- 576000- 576000- 0- 652800- 0] 
131101-0-0,[1- 3- 1- 1- 0- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 1804800- 576000- 576000- 0- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 3- 1- 1- 0- 1- 0- 0], [576000- 1804800- 576000- 576000- 0- 576000- 0- 0], 26.767238609212782,  810.8801810656187, 2.07301e+11, 1.29123e-10, 111101-0-0, [1- 1- 1- 1- 0- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 0- 576000- 0- 0- 0- 0- 0- 0- 0], [1- 1- 1- 1- 0- 1- 0- 0], [576000- 576000- 576000- 576000- 0- 576000- 0- 0] 
231310-1-2,[2- 3- 1- 3- 1- 0- 1- 0- 0- 2- 0- 0- 0],[1363200- 1804800- 576000- 1804800- 576000- 0- 0- 0- 0- 1766400- 0- 0- 0],[2- 3- 1- 3- 1- 0- 1- 2], [1363200- 1804800- 576000- 1804800- 576000- 0- 652800- 1766400], 63.44082042960884,  1850.6296824437156, 8.89103e+11, 7.13537e-11, 111110-1-2, [1- 1- 1- 1- 1- 0- 1- 0- 0- 2- 0- 0- 0],[576000- 576000- 576000- 576000- 576000- 0- 0- 0- 0- 1766400- 0- 0- 0], [1- 1- 1- 1- 1- 0- 1- 2], [576000- 576000- 576000- 576000- 576000- 0- 652800- 1766400] 
103303-0-1,[1- 0- 3- 3- 0- 3- 0- 0- 0- 1- 0- 0- 0],[576000- 0- 1804800- 1804800- 0- 1804800- 0- 0- 0- 806400- 0- 0- 0],[1- 0- 3- 3- 0- 3- 0- 1], [576000- 0- 1804800- 1804800- 0- 1804800- 0- 806400], 58.54108121624596,  1726.6063277270882, 7.51419e+11, 7.79074e-11, 303303-0-1, [3- 0- 3- 3- 0- 3- 0- 0- 0- 1- 0- 0- 0],[1804800- 0- 1804800- 1804800- 0- 1804800- 0- 0- 0- 806400- 0- 0- 0], [3- 0- 3- 3- 0- 3- 0- 1], [1804800- 0- 1804800- 1804800- 0- 1804800- 0- 806400] 
131322-3-3,[1- 3- 1- 3- 2- 2- 3- 0- 0- 3- 0- 0- 0],[576000- 1804800- 576000- 1804800- 1363200- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[1- 3- 1- 3- 2- 2- 3- 3], [576000- 1804800- 576000- 1804800- 1363200- 1363200- 2208000- 2400000], 97.28797445994333,  2734.713777209826, 1.46637e+12, 6.63461e-11, 222222-3-3, [2- 2- 2- 2- 2- 2- 3- 0- 0- 3- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 1363200- 1363200- 0- 0- 0- 2400000- 0- 0- 0], [2- 2- 2- 2- 2- 2- 3- 3], [1363200- 1363200- 1363200- 1363200- 1363200- 1363200- 2208000- 2400000] 
313223-3-2,[3- 1- 3- 2- 2- 3- 3- 0- 0- 2- 0- 0- 0],[1804800- 576000- 1804800- 1363200- 1363200- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[3- 1- 3- 2- 2- 3- 3- 2], [1804800- 576000- 1804800- 1363200- 1363200- 1804800- 2208000- 1766400], 85.51534231485796,  2442.94627330463, 1.35642e+12, 6.30449e-11, 333333-3-2, [3- 3- 3- 3- 3- 3- 3- 0- 0- 2- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 1804800- 1804800- 0- 0- 0- 1766400- 0- 0- 0], [3- 3- 3- 3- 3- 3- 3- 2], [1804800- 1804800- 1804800- 1804800- 1804800- 1804800- 2208000- 1766400] 
301132-3-3,[3- 0- 1- 1- 3- 2- 3- 0- 0- 3- 0- 0- 0],[1804800- 0- 576000- 576000- 1804800- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[3- 0- 1- 1- 3- 2- 3- 3], [1804800- 0- 576000- 576000- 1804800- 1363200- 2208000- 2400000], 84.49044180099274,  2410.3510734465012, 1.27609e+12, 6.62104e-11, 202222-3-3, [2- 0- 2- 2- 2- 2- 3- 0- 0- 3- 0- 0- 0],[1363200- 0- 1363200- 1363200- 1363200- 1363200- 0- 0- 0- 2400000- 0- 0- 0], [2- 0- 2- 2- 2- 2- 3- 3], [1363200- 0- 1363200- 1363200- 1363200- 1363200- 2208000- 2400000] 
