configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,                    phone power,workload,energy by workload,starting cc_info,ending cc_info
002020-3-0,[0- 0- 2- 0- 2- 0- 3- 0- 0- 0- 0- 0- 0],[0- 0- 1363200- 0- 1363200- 0- 2208000- 0- 0- 0- 0- 0- 0],[0- 0- 2- 0- 2- 0- 3- 0],[0- 0- 1363200- 0- 1363200- 0- 2208000- 0],            52.90383875415112,1560.7796937029514,5.7779e+11,9.15624e-11,0,0
202000-3-3,[2- 0- 2- 0- 0- 0- 3- 0- 0- 3- 0- 0- 0],[1363200- 0- 1363200- 0- 0- 0- 2208000- 0- 0- 2400000- 0- 0- 0],[2- 0- 2- 0- 0- 0- 3- 3],[1363200- 0- 1363200- 0- 0- 0- 2208000- 2400000],            76.35579765249746,2211.1397819709296,9.35898e+11,8.15856e-11,0,0
220000-3-3,[2- 2- 0- 0- 0- 0- 3- 0- 0- 3- 0- 0- 0],[1363200- 1363200- 0- 0- 0- 0- 2208000- 0- 0- 2400000- 0- 0- 0],[2- 2- 0- 0- 0- 0- 3- 3],[1363200- 1363200- 0- 0- 0- 0- 2208000- 2400000],            73.69017863100204,2123.4260314085905,9.73425e+11,7.5702e-11,0,0
003333-1-0,[0- 0- 3- 3- 3- 3- 1- 0- 0- 0- 0- 0- 0],[0- 0- 1804800- 1804800- 1804800- 1804800- 652800- 0- 0- 0- 0- 0- 0],[0- 0- 3- 3- 3- 3- 1- 0],[0- 0- 1804800- 1804800- 1804800- 1804800- 652800- 0],            57.33723345336789,1687.3212433824947,7.01607e+11,8.17227e-11,0,0
000111-0-0,[0- 0- 0- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 1- 1- 1- 0- 0],[0- 0- 0- 576000- 576000- 576000- 0- 0],            25.382226466175275,763.0234258194865,1.19754e+11,2.11953e-10,0,0
333033-2-0,[3- 3- 3- 0- 3- 3- 2- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 0- 1804800- 1804800- 1478400- 0- 0- 0- 0- 0- 0],[3- 3- 3- 0- 3- 3- 2- 0],[1804800- 1804800- 1804800- 0- 1804800- 1804800- 1478400- 0],            70.98779227993477,2048.2738370953357,1.02537e+12,6.92314e-11,0,0
020200-2-0,[0- 2- 0- 2- 0- 0- 2- 0- 0- 0- 0- 0- 0],[0- 1363200- 0- 1363200- 0- 0- 1478400- 0- 0- 0- 0- 0- 0],[0- 2- 0- 2- 0- 0- 2- 0],[0- 1363200- 0- 1363200- 0- 0- 1478400- 0],            40.672301388671954,1219.3669808735406,4.82055e+11,8.43727e-11,0,0
020000-1-3,[0- 2- 0- 0- 0- 0- 1- 0- 0- 3- 0- 0- 0],[0- 1363200- 0- 0- 0- 0- 652800- 0- 0- 2400000- 0- 0- 0],[0- 2- 0- 0- 0- 0- 1- 3],[0- 1363200- 0- 0- 0- 0- 652800- 2400000],            71.00913070664843,2053.9994057935787,7.60584e+11,9.33613e-11,0,0
330303-2-0,[3- 3- 0- 3- 0- 3- 2- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 0- 1804800- 0- 1804800- 1478400- 0- 0- 0- 0- 0- 0],[3- 3- 0- 3- 0- 3- 2- 0],[1804800- 1804800- 0- 1804800- 0- 1804800- 1478400- 0],            62.03120341832688,1812.7186999488836,8.79941e+11,7.04947e-11,0,0
110101-3-3,[1- 1- 0- 1- 0- 1- 3- 0- 0- 3- 0- 0- 0],[576000- 576000- 0- 576000- 0- 576000- 2208000- 0- 0- 2400000- 0- 0- 0],[1- 1- 0- 1- 0- 1- 3- 3],[576000- 576000- 0- 576000- 0- 576000- 2208000- 2400000],            75.57724470504559,2180.068431942519,1.00282e+12,7.53647e-11,0,0
