configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,                    phone power,workload,energy by workload,starting cc_info,ending cc_info
000011-1-1,[0- 0- 0- 0- 1- 1- 1- 0- 0- 1- 0- 0- 0],[0- 0- 0- 0- 576000- 576000- 652800- 0- 0- 806400- 0- 0- 0],[0- 0- 0- 0- 1- 1- 1- 1],[0- 0- 0- 0- 576000- 576000- 652800- 806400],            41.81970183069355,1239.9389943573765,4.62846e+11,9.03534e-11,0,0
111011-3-0,[1- 1- 1- 0- 1- 1- 3- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 0- 576000- 576000- 2208000- 0- 0- 0- 0- 0- 0],[1- 1- 1- 0- 1- 1- 3- 0],[576000- 576000- 576000- 0- 576000- 576000- 2208000- 0],            56.29375828423512,1651.5213691007534,7.01994e+11,8.01912e-11,0,0
220020-1-2,[2- 2- 0- 0- 2- 0- 1- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 0- 0- 1363200- 0- 652800- 0- 0- 1766400- 0- 0- 0],[2- 2- 0- 0- 2- 0- 1- 2],[1363200- 1363200- 0- 0- 1363200- 0- 652800- 1766400],            62.38781956977318,1823.7797751046123,7.89711e+11,7.90008e-11,0,0
333033-0-2,[3- 3- 3- 0- 3- 3- 0- 0- 0- 2- 0- 0- 0],[1804800- 1804800- 1804800- 0- 1804800- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[3- 3- 3- 0- 3- 3- 0- 2],[1804800- 1804800- 1804800- 0- 1804800- 1804800- 0- 1766400],            72.52828772049172,2089.4963122697923,1.00842e+12,7.19227e-11,0,0
222220-3-3,[2- 2- 2- 2- 2- 0- 3- 0- 0- 3- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 1363200- 0- 2208000- 0- 0- 2400000- 0- 0- 0],[2- 2- 2- 2- 2- 0- 3- 3],[1363200- 1363200- 1363200- 1363200- 1363200- 0- 2208000- 2400000],            72.03533813993924,2081.099771461929,1.04248e+12,6.91e-11,0,0
030300-2-0,[0- 3- 0- 3- 0- 0- 2- 0- 0- 0- 0- 0- 0],[0- 1804800- 0- 1804800- 0- 0- 1478400- 0- 0- 0- 0- 0- 0],[0- 3- 0- 3- 0- 0- 2- 0],[0- 1804800- 0- 1804800- 0- 0- 1478400- 0],            41.251803480253244,1221.9269532495439,4.81297e+11,8.57097e-11,0,0
220220-3-2,[2- 2- 0- 2- 2- 0- 3- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 0- 1363200- 1363200- 0- 2208000- 0- 0- 1766400- 0- 0- 0],[2- 2- 0- 2- 2- 0- 3- 2],[1363200- 1363200- 0- 1363200- 1363200- 0- 2208000- 1766400],            77.28586489330746,2240.268416691897,1.08914e+12,7.09605e-11,0,0
101110-2-3,[1- 0- 1- 1- 1- 0- 2- 0- 0- 3- 0- 0- 0],[576000- 0- 576000- 576000- 576000- 0- 1478400- 0- 0- 2400000- 0- 0- 0],[1- 0- 1- 1- 1- 0- 2- 3],[576000- 0- 576000- 576000- 576000- 0- 1478400- 2400000],            71.25193400283615,2069.992292330539,1.00936e+12,7.05912e-11,0,0
111011-2-3,[1- 1- 1- 0- 1- 1- 2- 0- 0- 3- 0- 0- 0],[576000- 576000- 576000- 0- 576000- 576000- 1478400- 0- 0- 2400000- 0- 0- 0],[1- 1- 1- 0- 1- 1- 2- 3],[576000- 576000- 576000- 0- 576000- 576000- 1478400- 2400000],            71.21791539618593,2060.9614987008795,1.02084e+12,6.9764e-11,0,0
303300-0-1,[3- 0- 3- 3- 0- 0- 0- 0- 0- 1- 0- 0- 0],[1804800- 0- 1804800- 1804800- 0- 0- 0- 0- 0- 806400- 0- 0- 0],[3- 0- 3- 3- 0- 0- 0- 1],[1804800- 0- 1804800- 1804800- 0- 0- 0- 806400],            33.55309393673303,1004.8662797496542,3.42218e+11,9.8046e-11,0,0
222220-2-1,[2- 2- 2- 2- 2- 0- 2- 0- 0- 1- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 1363200- 0- 1478400- 0- 0- 806400- 0- 0- 0],[2- 2- 2- 2- 2- 0- 2- 1],[1363200- 1363200- 1363200- 1363200- 1363200- 0- 1478400- 806400],            58.70456587016728,1718.3249396203544,8.54971e+11,6.86626e-11,0,0
200222-2-3,[2- 0- 0- 2- 2- 2- 2- 0- 0- 3- 0- 0- 0],[1363200- 0- 0- 1363200- 1363200- 1363200- 1478400- 0- 0- 2400000- 0- 0- 0],[2- 0- 0- 2- 2- 2- 2- 3],[1363200- 0- 0- 1363200- 1363200- 1363200- 1478400- 2400000],            80.17631322756387,2286.4452409649807,1.17012e+12,6.85197e-11,0,0
220222-2-0,[2- 2- 0- 2- 2- 2- 2- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 0- 1363200- 1363200- 1363200- 1478400- 0- 0- 0- 0- 0- 0],[2- 2- 0- 2- 2- 2- 2- 0],[1363200- 1363200- 0- 1363200- 1363200- 1363200- 1478400- 0],            58.67863075260059,1725.1057996792151,9.06046e+11,6.47634e-11,0,0
333333-3-3,[3- 3- 3- 3- 3- 3- 3- 0- 0- 3- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 1804800- 1804800- 2208000- 0- 0- 2400000- 0- 0- 0],[3- 3- 3- 3- 3- 3- 3- 3],[1804800- 1804800- 1804800- 1804800- 1804800- 1804800- 2208000- 2400000],            77.67467453614748,2242.11521678855,1.2419e+12,6.2545e-11,0,0
