configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,                    phone power,workload,energy by workload,starting cc_info,ending cc_info
110111-1-2,[1- 1- 0- 1- 1- 1- 1- 0- 0- 2- 0- 0- 0],[576000- 576000- 0- 576000- 576000- 576000- 652800- 0- 0- 1766400- 0- 0- 0],[1- 1- 0- 1- 1- 1- 1- 2],[576000- 576000- 0- 576000- 576000- 576000- 652800- 1766400],            64.195799103128,1870.27221337168,887774000000,7.2311E-11,0,0
222222-1-0,[2- 2- 2- 2- 2- 2- 1- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 1363200- 1363200- 652800- 0- 0- 0- 0- 0- 0],[2- 2- 2- 2- 2- 2- 1- 0],[1363200- 1363200- 1363200- 1363200- 1363200- 1363200- 652800- 0],            48.4114598927455,1442.18368563072,768047000000,6.30319E-11,0,0
101111-3-3,[1- 0- 1- 1- 1- 1- 3- 0- 0- 3- 0- 0- 0],[576000- 0- 576000- 576000- 576000- 576000- 2208000- 0- 0- 2400000- 0- 0- 0],[1- 0- 1- 1- 1- 1- 3- 3],[576000- 0- 576000- 576000- 576000- 576000- 2208000- 2400000],            82.9156109905908,2370.44595570604,1124420000000,7.37408E-11,0,0
111111-3-3,[1- 1- 1- 1- 1- 1- 3- 0- 0- 3- 0- 0- 0],[576000- 576000- 576000- 576000- 576000- 576000- 2208000- 0- 0- 2400000- 0- 0- 0],[1- 1- 1- 1- 1- 1- 3- 3],[576000- 576000- 576000- 576000- 576000- 576000- 2208000- 2400000],            100.207122447555,2815.56321728583,1264290000000,7.92596E-11,0,0
003333-3-1,[0- 0- 3- 3- 3- 3- 3- 0- 0- 1- 0- 0- 0],[0- 0- 1804800- 1804800- 1804800- 1804800- 2208000- 0- 0- 806400- 0- 0- 0],[0- 0- 3- 3- 3- 3- 3- 1],[0- 0- 1804800- 1804800- 1804800- 1804800- 2208000- 806400],            82.9689480595376,2387.89201304909,1137720000000,7.29256E-11,0,0
011111-1-2,[0- 1- 1- 1- 1- 1- 1- 0- 0- 2- 0- 0- 0],[0- 576000- 576000- 576000- 576000- 576000- 652800- 0- 0- 1766400- 0- 0- 0],[0- 1- 1- 1- 1- 1- 1- 2],[0- 576000- 576000- 576000- 576000- 576000- 652800- 1766400],            64.6497062836685,1880.86289806615,888481000000,7.27643E-11,0,0
202022-1-2,[2- 0- 2- 0- 2- 2- 1- 0- 0- 2- 0- 0- 0],[1363200- 0- 1363200- 0- 1363200- 1363200- 652800- 0- 0- 1766400- 0- 0- 0],[2- 0- 2- 0- 2- 2- 1- 2],[1363200- 0- 1363200- 0- 1363200- 1363200- 652800- 1766400],            73.9118250482876,2126.96235327462,1063630000000,6.94902E-11,0,0
330030-2-2,[3- 3- 0- 0- 3- 0- 2- 0- 0- 2- 0- 0- 0],[1804800- 1804800- 0- 0- 1804800- 0- 1478400- 0- 0- 1766400- 0- 0- 0],[3- 3- 0- 0- 3- 0- 2- 2],[1804800- 1804800- 0- 0- 1804800- 0- 1478400- 1766400],            72.9096660218277,2103.12260612319,1027130000000,7.09839E-11,0,0
333330-3-0,[3- 3- 3- 3- 3- 0- 3- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 1804800- 0- 2208000- 0- 0- 0- 0- 0- 0],[3- 3- 3- 3- 3- 0- 3- 0],[1804800- 1804800- 1804800- 1804800- 1804800- 0- 2208000- 0],            58.2884375590111,1697.69138927978,727308000000,8.01427E-11,0,0
111110-1-0,[1- 1- 1- 1- 1- 0- 1- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 576000- 0- 652800- 0- 0- 0- 0- 0- 0],[1- 1- 1- 1- 1- 0- 1- 0],[576000- 576000- 576000- 576000- 576000- 0- 652800- 0],            32.3869731002721,983.335465202881,385836000000,8.39397E-11,0,0
