configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,                    phone power,workload,energy by workload,starting cc_info,ending cc_info
002220-3-3,[0- 0- 2- 2- 2- 0- 3- 0- 0- 3- 0- 0- 0],[0- 0- 1363200- 1363200- 1363200- 0- 2208000- 0- 0- 2400000- 0- 0- 0],[0- 0- 2- 2- 2- 0- 3- 3],[0- 0- 1363200- 1363200- 1363200- 0- 2208000- 2400000],            95.64698110453958,2706.4019047892057,1.09204e+12,8.75856e-11,0,0
300333-3-2,[3- 0- 0- 3- 3- 3- 3- 0- 0- 2- 0- 0- 0],[1804800- 0- 0- 1804800- 1804800- 1804800- 2208000- 0- 0- 1766400- 0- 0- 0],[3- 0- 0- 3- 3- 3- 3- 2],[1804800- 0- 0- 1804800- 1804800- 1804800- 2208000- 1766400],            97.0043167849163,2751.3754824434573,1.35809e+12,7.1427e-11,0,0
303000-1-3,[3- 0- 3- 0- 0- 0- 1- 0- 0- 3- 0- 0- 0],[1804800- 0- 1804800- 0- 0- 0- 652800- 0- 0- 2400000- 0- 0- 0],[3- 0- 3- 0- 0- 0- 1- 3],[1804800- 0- 1804800- 0- 0- 0- 652800- 2400000],            74.4831318809973,2147.912797444487,8.02787e+11,9.27807e-11,0,0
100011-3-2,[1- 0- 0- 0- 1- 1- 3- 0- 0- 2- 0- 0- 0],[576000- 0- 0- 0- 576000- 576000- 2208000- 0- 0- 1766400- 0- 0- 0],[1- 0- 0- 0- 1- 1- 3- 2],[576000- 0- 0- 0- 576000- 576000- 2208000- 1766400],            80.21675217727041,2298.0200835729647,1.05292e+12,7.6185e-11,0,0
110101-2-1,[1- 1- 0- 1- 0- 1- 2- 0- 0- 1- 0- 0- 0],[576000- 576000- 0- 576000- 0- 576000- 1478400- 0- 0- 806400- 0- 0- 0],[1- 1- 0- 1- 0- 1- 2- 1],[576000- 576000- 0- 576000- 0- 576000- 1478400- 806400],            58.449843734673564,1711.7548279672205,8.01312e+11,7.29427e-11,0,0
101101-3-2,[1- 0- 1- 1- 0- 1- 3- 0- 0- 2- 0- 0- 0],[576000- 0- 576000- 576000- 0- 576000- 2208000- 0- 0- 1766400- 0- 0- 0],[1- 0- 1- 1- 0- 1- 3- 2],[576000- 0- 576000- 576000- 0- 576000- 2208000- 1766400],            83.02798102049613,2393.583786406191,1.10765e+12,7.49587e-11,0,0
111110-1-0,[1- 1- 1- 1- 1- 0- 1- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 576000- 0- 652800- 0- 0- 0- 0- 0- 0],[1- 1- 1- 1- 1- 0- 1- 0],[576000- 576000- 576000- 576000- 576000- 0- 652800- 0],            34.4916252352497,1042.8223371380293,3.86346e+11,8.92765e-11,0,0
002020-2-0,[0- 0- 2- 0- 2- 0- 2- 0- 0- 0- 0- 0- 0],[0- 0- 1363200- 0- 1363200- 0- 1478400- 0- 0- 0- 0- 0- 0],[0- 0- 2- 0- 2- 0- 2- 0],[0- 0- 1363200- 0- 1363200- 0- 1478400- 0],            41.82246108428108,1255.5636011586769,4.81907e+11,8.67853e-11,0,0
330000-3-3,[3- 3- 0- 0- 0- 0- 3- 0- 0- 3- 0- 0- 0],[1804800- 1804800- 0- 0- 0- 0- 2208000- 0- 0- 2400000- 0- 0- 0],[3- 3- 0- 0- 0- 0- 3- 3],[1804800- 1804800- 0- 0- 0- 0- 2208000- 2400000],            83.68676450959153,2393.554342358599,9.19146e+11,9.10484e-11,0,0
003003-3-3,[0- 0- 3- 0- 0- 3- 3- 0- 0- 3- 0- 0- 0],[0- 0- 1804800- 0- 0- 1804800- 2208000- 0- 0- 2400000- 0- 0- 0],[0- 0- 3- 0- 0- 3- 3- 3],[0- 0- 1804800- 0- 0- 1804800- 2208000- 2400000],            86.43365459642617,2465.57947998712,1.08916e+12,7.93581e-11,0,0
