configurations,generic format,exact frequency,samsung galaxy format,exact frequencies
3303-0033,[3- 3- 0- 3- 0- 0- 0- 0- 0- 0- 0- 3- 3],[1690000- 1690000- 0- 1690000- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000],[3- 3- 0- 3- 0- 0- 3- 3], [1690000- 1690000- 0- 1690000- 0- 0- 2314000- 2314000]
0200-3030,[0- 2- 0- 0- 0- 0- 0- 0- 0- 3- 0- 3- 0],[0- 1248000- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 0],[0- 2- 0- 0- 3- 0- 3- 0], [0- 1248000- 0- 0- 2314000- 0- 2314000- 0]
2022-0001,[2- 0- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 1],[1248000- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 741000],[2- 0- 2- 2- 0- 0- 0- 1], [1248000- 0- 1248000- 1248000- 0- 0- 0- 741000]
2220-1011,[2- 2- 2- 0- 0- 0- 0- 0- 0- 1- 0- 1- 1],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 741000- 0- 741000- 741000],[2- 2- 2- 0- 1- 0- 1- 1], [1248000- 1248000- 1248000- 0- 741000- 0- 741000- 741000]
0003-0200,[0- 0- 0- 3- 0- 0- 0- 0- 0- 0- 2- 0- 0],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[0- 0- 0- 3- 0- 2- 0- 0], [0- 0- 0- 1690000- 0- 1469000- 0- 0]
0000-0300,[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 0],[0- 0- 0- 0- 0- 3- 0- 0], [0- 0- 0- 0- 0- 2314000- 0- 0]
1111-0200,[1- 1- 1- 1- 0- 0- 0- 0- 0- 0- 2- 0- 0],[598000- 598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[1- 1- 1- 1- 0- 2- 0- 0], [598000- 598000- 598000- 598000- 0- 1469000- 0- 0]
1110-1100,[1- 1- 1- 0- 0- 0- 0- 0- 0- 1- 1- 0- 0],[598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 741000- 741000- 0- 0],[1- 1- 1- 0- 1- 1- 0- 0], [598000- 598000- 598000- 0- 741000- 741000- 0- 0]
0100-2022,[0- 1- 0- 0- 0- 0- 0- 0- 0- 2- 0- 2- 2],[0- 598000- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 1469000- 1469000],[0- 1- 0- 0- 2- 0- 2- 2], [0- 598000- 0- 0- 1469000- 0- 1469000- 1469000]
0003-0303,[0- 0- 0- 3- 0- 0- 0- 0- 0- 0- 3- 0- 3],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000],[0- 0- 0- 3- 0- 3- 0- 3], [0- 0- 0- 1690000- 0- 2314000- 0- 2314000]
1001-0330,[1- 0- 0- 1- 0- 0- 0- 0- 0- 0- 3- 3- 0],[598000- 0- 0- 598000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0],[1- 0- 0- 1- 0- 3- 3- 0], [598000- 0- 0- 598000- 0- 2314000- 2314000- 0]
2200-0303,[2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0- 3],[1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000],[2- 2- 0- 0- 0- 3- 0- 3], [1248000- 1248000- 0- 0- 0- 2314000- 0- 2314000]
