configurations,generic format,exact frequency,samsung galaxy format,exact frequencies,phone energy,phone power,workload,energy by workload,starting cc_info,ending cc_info
0333-0022,[0- 3- 3- 3- 0- 0- 0- 0- 0- 0- 0- 2- 2],[0- 1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000],[0- 3- 3- 3- 0- 0- 2- 2],[0- 1690000- 1690000- 1690000- 0- 0- 1469000- 1469000],89.9330079144257,2559.7976826341883,8.96793e+11,1.00283e-10,2856500,2854000
0010-0020,[0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 2- 0],[0- 0- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 0],[0- 0- 1- 0- 0- 0- 2- 0],[0- 0- 598000- 0- 0- 0- 1469000- 0],38.23730642224095,1145.3195912952845,1.50864e+11,2.53455e-10,2853000,2853000
0330-1000,[0- 3- 3- 0- 0- 0- 0- 0- 0- 1- 0- 0- 0],[0- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 741000- 0- 0- 0],[0- 3- 3- 0- 1- 0- 0- 0],[0- 1690000- 1690000- 0- 741000- 0- 0- 0],38.442766218461415,1150.8026011158004,1.87528e+11,2.04997e-10,2851500,2851500
0020-1100,[0- 0- 2- 0- 0- 0- 0- 0- 0- 1- 1- 0- 0],[0- 0- 1248000- 0- 0- 0- 0- 0- 0- 741000- 741000- 0- 0],[0- 0- 2- 0- 1- 1- 0- 0],[0- 0- 1248000- 0- 741000- 741000- 0- 0],44.57327974426731,1323.1100286187539,2.81045e+11,1.58598e-10,2849500,2849500
0010-0220,[0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 2- 2- 0],[0- 0- 598000- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 0],[0- 0- 1- 0- 0- 2- 2- 0],[0- 0- 598000- 0- 0- 1469000- 1469000- 0],44.21656120461309,1318.8501042767225,2.79225e+11,1.58355e-10,2848000,2848000
0002-0020,[0- 0- 0- 2- 0- 0- 0- 0- 0- 0- 0- 2- 0],[0- 0- 0- 1248000- 0- 0- 0- 0- 0- 0- 0- 1469000- 0],[0- 0- 0- 2- 0- 0- 2- 0],[0- 0- 0- 1248000- 0- 0- 1469000- 0],41.241212688690204,1223.9856588405266,2.08313e+11,1.97977e-10,2847500,2847500
0011-0003,[0- 0- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 3],[0- 0- 598000- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000],[0- 0- 1- 1- 0- 0- 0- 3],[0- 0- 598000- 598000- 0- 0- 0- 2314000],90.40819193762006,2573.4409322765187,4.90179e+11,1.84439e-10,2840000,2831500
0110-1101,[0- 1- 1- 0- 0- 0- 0- 0- 0- 1- 1- 0- 1],[0- 598000- 598000- 0- 0- 0- 0- 0- 0- 741000- 741000- 0- 741000],[0- 1- 1- 0- 1- 1- 0- 1],[0- 598000- 598000- 0- 741000- 741000- 0- 741000],51.252751360492596,1511.6824469781754,4.38125e+11,1.16982e-10,2832000,2832000
2000-1011,[2- 0- 0- 0- 0- 0- 0- 0- 0- 1- 0- 1- 1],[1248000- 0- 0- 0- 0- 0- 0- 0- 0- 741000- 0- 741000- 741000],[2- 0- 0- 0- 1- 0- 1- 1],[1248000- 0- 0- 0- 741000- 0- 741000- 741000],50.48580057701382,1498.390141974944,3.974e+11,1.2704e-10,2830500,2830500
0010-0002,[0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2],[0- 0- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1469000],[0- 0- 1- 0- 0- 0- 0- 2],[0- 0- 598000- 0- 0- 0- 0- 1469000],50.30984949565249,1478.8177873764362,2.73526e+11,1.83931e-10,2829500,2829500
0010-0000,[0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 1- 0- 0- 0- 0- 0],[0- 0- 598000- 0- 0- 0- 0- 0],31.13714791596921,941.4571685306104,2.96706e+10,1.04943e-09,2828500,2828500
3000-0303,[3- 0- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0- 3],[1690000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000],[3- 0- 0- 0- 0- 3- 0- 3],[1690000- 0- 0- 0- 0- 2314000- 0- 2314000],90.38006367799885,2571.3348726455147,8.44385e+11,1.07037e-10,2811500,2755000
3000-2220,[3- 0- 0- 0- 0- 0- 0- 0- 0- 2- 2- 2- 0],[1690000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 0],[3- 0- 0- 0- 2- 2- 2- 0],[1690000- 0- 0- 0- 1469000- 1469000- 1469000- 0],51.051832744533606,1507.4583395660018,4.0055e+11,1.27454e-10,2801000,2801000
0222-0333,[0- 2- 2- 2- 0- 0- 0- 0- 0- 0- 3- 3- 3],[0- 1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000],[0- 2- 2- 2- 0- 3- 3- 3],[0- 1248000- 1248000- 1248000- 0- 2314000- 2314000- 2314000],90.32469508487935,2569.6315949604314,1.41801e+12,6.36982e-11,2770500,2688500
0300-3033,[0- 3- 0- 0- 0- 0- 0- 0- 0- 3- 0- 3- 3],[0- 1690000- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 2314000],[0- 3- 0- 0- 3- 0- 3- 3],[0- 1690000- 0- 0- 2314000- 0- 2314000- 2314000],84.63294378298136,2422.761965810517,9.40447e+11,8.99923e-11,2746500,2701500
0003-3030,[0- 0- 0- 3- 0- 0- 0- 0- 0- 3- 0- 3- 0],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 0],[0- 0- 0- 3- 3- 0- 3- 0],[0- 0- 0- 1690000- 2314000- 0- 2314000- 0],55.89225529242415,1644.1189933324854,3.71385e+11,1.50497e-10,2747000,2747000
2202-2020,[2- 2- 0- 2- 0- 0- 0- 0- 0- 2- 0- 2- 0],[1248000- 1248000- 0- 1248000- 0- 0- 0- 0- 0- 1469000- 0- 1469000- 0],[2- 2- 0- 2- 2- 0- 2- 0],[1248000- 1248000- 0- 1248000- 1469000- 0- 1469000- 0],52.87342312951123,1558.0536438274928,5.1504e+11,1.02659e-10,2745500,2745500
0222-0300,[0- 2- 2- 2- 0- 0- 0- 0- 0- 0- 3- 0- 0],[0- 1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 2314000- 0- 0],[0- 2- 2- 2- 0- 3- 0- 0],[0- 1248000- 1248000- 1248000- 0- 2314000- 0- 0],46.31996576628587,1372.8079828073023,3.98562e+11,1.16218e-10,2744000,2744000
2020-3033,[2- 0- 2- 0- 0- 0- 0- 0- 0- 3- 0- 3- 3],[1248000- 0- 1248000- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 2314000],[2- 0- 2- 0- 3- 0- 3- 3],[1248000- 0- 1248000- 0- 2314000- 0- 2314000- 2314000],85.07291215904864,2433.3691282128552,9.92833e+11,8.5687e-11,2714500,2668000
2000-3300,[2- 0- 0- 0- 0- 0- 0- 0- 0- 3- 3- 0- 0],[1248000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 0],[2- 0- 0- 0- 3- 3- 0- 0],[1248000- 0- 0- 0- 2314000- 2314000- 0- 0],44.2559788167609,1317.8750480134693,2.76977e+11,1.59782e-10,2720000,2720000
0200-1111,[0- 2- 0- 0- 0- 0- 0- 0- 0- 1- 1- 1- 1],[0- 1248000- 0- 0- 0- 0- 0- 0- 0- 741000- 741000- 741000- 741000],[0- 2- 0- 0- 1- 1- 1- 1],[0- 1248000- 0- 0- 741000- 741000- 741000- 741000],56.72729786733913,1664.563364732799,5.2774e+11,1.07491e-10,2718500,2718500
3300-0303,[3- 3- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0- 3],[1690000- 1690000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000],[3- 3- 0- 0- 0- 3- 0- 3],[1690000- 1690000- 0- 0- 0- 2314000- 0- 2314000],90.29813314312791,2572.041528803042,8.82283e+11,1.02346e-10,2700500,2641000
0220-0003,[0- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 0- 3],[0- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2314000],[0- 2- 2- 0- 0- 0- 0- 3],[0- 1248000- 1248000- 0- 0- 0- 0- 2314000],90.21727290893641,2570.279554639554,4.68692e+11,1.92487e-10,2687000,2677500
2202-0003,[2- 2- 0- 2- 0- 0- 0- 0- 0- 0- 0- 0- 3],[1248000- 1248000- 0- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000],[2- 2- 0- 2- 0- 0- 0- 3],[1248000- 1248000- 0- 1248000- 0- 0- 0- 2314000],90.2512287269192,2569.4696991821465,6.8085e+11,1.32557e-10,2667500,2649000
1010-2202,[1- 0- 1- 0- 0- 0- 0- 0- 0- 2- 2- 0- 2],[598000- 0- 598000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 0- 1469000],[1- 0- 1- 0- 2- 2- 0- 2],[598000- 0- 598000- 0- 1469000- 1469000- 0- 1469000],89.45856817515498,2551.9632619523145,8.42951e+11,1.06125e-10,2665500,2664500
3330-2002,[3- 3- 3- 0- 0- 0- 0- 0- 0- 2- 0- 0- 2],[1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0- 1469000],[3- 3- 3- 0- 2- 0- 0- 2],[1690000- 1690000- 1690000- 0- 1469000- 0- 0- 1469000],67.54068504604341,1965.324340103775,6.12874e+11,1.10203e-10,2663000,2663000
0222-0202,[0- 2- 2- 2- 0- 0- 0- 0- 0- 0- 2- 0- 2],[0- 1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 1469000- 0- 1469000],[0- 2- 2- 2- 0- 2- 0- 2],[0- 1248000- 1248000- 1248000- 0- 1469000- 0- 1469000],90.4542041368081,2575.071012329594,1.10621e+12,8.17695e-11,2643500,2578000
3000-3330,[3- 0- 0- 0- 0- 0- 0- 0- 0- 3- 3- 3- 0],[1690000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000- 0],[3- 0- 0- 0- 3- 3- 3- 0],[1690000- 0- 0- 0- 2314000- 2314000- 2314000- 0],51.05776552279144,1510.3819396899578,4.07876e+11,1.2518e-10,2643500,2643500
1101-3300,[1- 1- 0- 1- 0- 0- 0- 0- 0- 3- 3- 0- 0],[598000- 598000- 0- 598000- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 0],[1- 1- 0- 1- 3- 3- 0- 0],[598000- 598000- 0- 598000- 2314000- 2314000- 0- 0],46.008611644667205,1362.1889818473635,3.81653e+11,1.20551e-10,2642000,2642000
0022-1011,[0- 0- 2- 2- 0- 0- 0- 0- 0- 1- 0- 1- 1],[0- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 741000- 0- 741000- 741000],[0- 0- 2- 2- 1- 0- 1- 1],[0- 0- 1248000- 1248000- 741000- 0- 741000- 741000],56.285208653833934,1654.9984782360561,5.63932e+11,9.98085e-11,2640500,2640500
2200-0110,[2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 1- 1- 0],[1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 741000- 741000- 0],[2- 2- 0- 0- 0- 1- 1- 0],[1248000- 1248000- 0- 0- 0- 741000- 741000- 0],44.7853619596255,1326.892079069329,3.14045e+11,1.42608e-10,2639000,2639000
0001-2022,[0- 0- 0- 1- 0- 0- 0- 0- 0- 2- 0- 2- 2],[0- 0- 0- 598000- 0- 0- 0- 0- 0- 1469000- 0- 1469000- 1469000],[0- 0- 0- 1- 2- 0- 2- 2],[0- 0- 0- 598000- 1469000- 0- 1469000- 1469000],86.20166705250911,2464.472449592844,8.04431e+11,1.07159e-10,2637500,2637000
0030-2220,[0- 0- 3- 0- 0- 0- 0- 0- 0- 2- 2- 2- 0],[0- 0- 1690000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 0],[0- 0- 3- 0- 2- 2- 2- 0],[0- 0- 1690000- 0- 1469000- 1469000- 1469000- 0],50.668788024263165,1502.927784979607,4.07035e+11,1.24483e-10,2635500,2635500
0033-1001,[0- 0- 3- 3- 0- 0- 0- 0- 0- 1- 0- 0- 1],[0- 0- 1690000- 1690000- 0- 0- 0- 0- 0- 741000- 0- 0- 741000],[0- 0- 3- 3- 1- 0- 0- 1],[0- 0- 1690000- 1690000- 741000- 0- 0- 741000],62.67319723427022,1817.9581528386973,5.00804e+11,1.25145e-10,2634000,2634000
2202-1000,[2- 2- 0- 2- 0- 0- 0- 0- 0- 1- 0- 0- 0],[1248000- 1248000- 0- 1248000- 0- 0- 0- 0- 0- 741000- 0- 0- 0],[2- 2- 0- 2- 1- 0- 0- 0],[1248000- 1248000- 0- 1248000- 741000- 0- 0- 0],46.212532784902685,1369.7143316755182,3.97438e+11,1.16276e-10,2632500,2632500
0220-2002,[0- 2- 2- 0- 0- 0- 0- 0- 0- 2- 0- 0- 2],[0- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0- 1469000],[0- 2- 2- 0- 2- 0- 0- 2],[0- 1248000- 1248000- 0- 1469000- 0- 0- 1469000],67.10285023752783,1955.6785606566896,5.75384e+11,1.16623e-10,2631000,2631000
0202-3000,[0- 2- 0- 2- 0- 0- 0- 0- 0- 3- 0- 0- 0],[0- 1248000- 0- 1248000- 0- 0- 0- 0- 0- 2314000- 0- 0- 0],[0- 2- 0- 2- 3- 0- 0- 0],[0- 1248000- 0- 1248000- 2314000- 0- 0- 0],43.81072733065037,1294.4637539975142,3.05108e+11,1.43591e-10,2629500,2629500
3033-2222,[3- 0- 3- 3- 0- 0- 0- 0- 0- 2- 2- 2- 2],[1690000- 0- 1690000- 1690000- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 1469000],[3- 0- 3- 3- 2- 2- 2- 2],[1690000- 0- 1690000- 1690000- 1469000- 1469000- 1469000- 1469000],90.65563688571943,2581.686131643444,1.42746e+12,6.35084e-11,2619000,2582500
0030-1110,[0- 0- 3- 0- 0- 0- 0- 0- 0- 1- 1- 1- 0],[0- 0- 1690000- 0- 0- 0- 0- 0- 0- 741000- 741000- 741000- 0],[0- 0- 3- 0- 1- 1- 1- 0],[0- 0- 1690000- 0- 741000- 741000- 741000- 0],51.14932930890216,1502.7012300921099,4.06622e+11,1.25791e-10,2619500,2619500
3033-0300,[3- 0- 3- 3- 0- 0- 0- 0- 0- 0- 3- 0- 0],[1690000- 0- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 0- 0],[3- 0- 3- 3- 0- 3- 0- 0],[1690000- 0- 1690000- 1690000- 0- 2314000- 0- 0],62.243845258834455,1824.4443558489425,4.99559e+11,1.24598e-10,2618500,2618500
0030-0222,[0- 0- 3- 0- 0- 0- 0- 0- 0- 0- 2- 2- 2],[0- 0- 1690000- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000],[0- 0- 3- 0- 0- 2- 2- 2],[0- 0- 1690000- 0- 0- 1469000- 1469000- 1469000],85.69119833200179,2450.4727862970517,7.92757e+11,1.08093e-10,2614500,2614000
2200-0033,[2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 0- 3- 3],[1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000],[2- 2- 0- 0- 0- 0- 3- 3],[1248000- 1248000- 0- 0- 0- 0- 2314000- 2314000],90.60793121252726,2580.5867619325863,8.88096e+11,1.02025e-10,2596500,2537500
0100-3330,[0- 1- 0- 0- 0- 0- 0- 0- 0- 3- 3- 3- 0],[0- 598000- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000- 0],[0- 1- 0- 0- 3- 3- 3- 0],[0- 598000- 0- 0- 2314000- 2314000- 2314000- 0],50.63907838895468,1497.9175933191395,4.0705e+11,1.24405e-10,2596500,2596500
0101-2220,[0- 1- 0- 1- 0- 0- 0- 0- 0- 2- 2- 2- 0],[0- 598000- 0- 598000- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 0],[0- 1- 0- 1- 2- 2- 2- 0],[0- 598000- 0- 598000- 1469000- 1469000- 1469000- 0],51.51585609397582,1521.4225695296159,4.671e+11,1.10289e-10,2595000,2595000
